Target Word,Cosine Similarity Score
خالد,0.5286458730697632
رفع,0.5963541865348816
يعلم,0.5859375
قلب,0.4114583432674408
كفر,0.703125
نصر,0.5338541865348816
إنسان,0.4479166865348816
عزيز,0.546875
أراد,0.6041666865348816
أيام,0.4453125
دليل,0.5625
طلب,0.5677083730697632
أخرى,0.5520833730697632
إيمان,0.5104166865348816
شعر,0.5625
نسخ,0.46875
بغداد,0.359375
مسجد,0.4140625
ربيع,0.7239583730697632
يجب,0.5755208730697632
حرم,0.4895833432674408
سفيان,0.515625
علماء,0.5963541865348816
حجر,0.5390625
بقي,0.5859375
كسر,0.5598958730697632
إسناد,0.5052083730697632
سأل,0.6484375
جواب,0.515625
نساء,0.578125
ظهر,0.7317708730697632
جامع,0.5416666865348816
أنس,0.640625
انظر,0.6119791865348816
فقيه,0.5182291865348816
ضرب,0.6119791865348816
قضاء,0.5338541865348816
عقد,0.6796875
صور,0.5859375
طالب,0.4765625
نسائي,0.6223958730697632
هرير,0.7421875
وجود,0.6458333730697632
كلم,0.5078125
شهر,0.6354166865348816
حاتم,0.5338541865348816
منصور,0.6015625
عرب,0.5598958730697632
طبق,0.5807291865348816
امرأ,0.6015625
سلطان,0.453125
مطلق,0.5729166865348816
يدل,0.5572916865348816
شمس,0.5677083730697632
مصنف,0.6510416865348816
مكان,0.5703125
عربي,0.6536458730697632
فرق,0.5260416865348816
حاج,0.4635416865348816
فصل,0.3776041865348816
عظيم,0.53125
جزء,0.5026041865348816
معين,0.6041666865348816
ترمذي,0.5026041865348816
حاكم,0.5338541865348816
وضع,0.5859375
سير,0.6484375
روي,0.5546875
سبيل,0.5885416865348816
منع,0.5234375
يعرف,0.59375
عذاب,0.6015625
حيا,0.8411458730697632
بلغ,0.7317708730697632
خطاب,0.5859375
حبان,0.53125
قسم,0.5182291865348816
حقيق,0.5703125
زمان,0.4296875
معرف,0.4166666865348816
مقام,0.5182291865348816
ثابت,0.578125
نصف,0.5729166865348816
دمشق,0.609375
ضعيف,0.515625
حارث,0.4427083432674408
أحاديث,0.4713541865348816
بعث,0.6588541865348816
كريم,0.7916666865348816
زاد,0.6901041865348816
بحر,0.5703125
يعقوب,0.6067708730697632
مصدر,0.5078125
منزل,0.625
شاء,0.734375
ولي,0.5859375
معجم,0.6614583730697632
محل,0.6458333730697632
أخبار,0.8333333730697632
معاوي,0.5078125
شهاد,0.5026041865348816
هشام,0.4817708432674408
يصح,0.5338541865348816
ورق,0.5989583730697632
وقف,0.5677083730697632
أبواب,0.6692708730697632
بلاد,0.578125
واجب,0.5651041865348816
لقد,0.5494791865348816
أحكام,0.5963541865348816
وجوب,0.5911458730697632
يذكر,0.6953125
أكل,0.515625
عائشة,0.7838541865348816
يلزم,0.53125
حدثني,0.5130208730697632
مولى,0.5520833730697632
عهد,0.6197916865348816
معنا,0.5833333730697632
حمد,0.5416666865348816
علام,0.5520833730697632
يونس,0.7604166865348816
جواز,0.6328125
كفار,0.546875
وصف,0.625
بشر,0.5442708730697632
حرب,0.546875
يمكن,0.4895833432674408
وصل,0.6666666865348816
وليد,0.6302083730697632
قيم,0.5729166865348816
مشهور,0.5338541865348816
مسعود,0.5859375
أعمال,0.4895833432674408
صفح,0.6536458730697632
منمن,0.4635416865348816
حرف,0.5807291865348816
خاص,0.6458333730697632
مرأ,0.5989583730697632
اختلف,0.4479166865348816
سماء,0.5208333730697632
والد,0.5442708730697632
كذب,0.4479166865348816
مسند,0.5546875
دفع,0.4427083432674408
كثر,0.5104166865348816
بلد,0.4817708432674408
أبى,0.5130208730697632
جابر,0.515625
تقدير,0.4348958432674408
حميد,0.5833333730697632
كامل,0.5755208730697632
قصد,0.6041666865348816
يريد,0.6041666865348816
كافر,0.5026041865348816
دول,0.6302083730697632
يخرج,0.5963541865348816
شعب,0.5989583730697632
نور,0.5234375
محرم,0.4869791865348816
طلاق,0.6927083730697632
آمن,0.75
سابق,0.4973958432674408
شام,0.5286458730697632
ضعف,0.5885416865348816
حنيف,0.515625
سواء,0.5364583730697632
زكا,0.6380208730697632
بغدادي,0.5130208730697632
قيس,0.7578125
ثبت,0.5208333730697632
قليل,0.7057291865348816
كمال,0.5338541865348816
نكاح,0.59375
كافي,0.5494791865348816
أمور,0.6901041865348816
وفا,0.5651041865348816
يمن,0.6979166865348816
ركع,0.5494791865348816
أنفس,0.5494791865348816
عقل,0.6145833730697632
صغير,0.4713541865348816
كعب,0.4973958432674408
عدي,0.5520833730697632
أنزل,0.5598958730697632
عامر,0.6354166865348816
تقول,0.5859375
بصري,0.7838541865348816
اختلاف,0.5
ظلم,0.5026041865348816
يدخل,0.4895833432674408
حماد,0.5364583730697632
عمار,0.4869791865348816
أحسن,0.6484375
نعيم,0.6536458730697632
ميت,0.7604166865348816
بصر,0.8020833730697632
كوفي,0.6015625
أجر,0.5885416865348816
حضر,0.7369791865348816
بقر,0.53125
أصول,0.5104166865348816
دخول,0.4973958432674408
اعتبار,0.5104166865348816
بدل,0.7005208730697632
طعام,0.6927083730697632
سنن,0.6510416865348816
بناء,0.6171875
غسل,0.5963541865348816
أنصاري,0.5989583730697632
حفظ,0.6276041865348816
خطيب,0.5625
طيب,0.6067708730697632
عدد,0.6953125
قرب,0.5520833730697632
ملائك,0.6067708730697632
زبير,0.4947916865348816
نهاي,0.5703125
شأن,0.546875
بدر,0.609375
أفضل,0.4921875
إشار,0.4661458432674408
ضمير,0.75
قلوب,0.5703125
روح,0.5755208730697632
سماع,0.671875
بأس,0.53125
سائر,0.6380208730697632
قبض,0.6041666865348816
