Target Word,Cosine Similarity Score
أسماء,0.71875
سيف,0.609375
لسان,0.5911458730697632
فرض,0.65625
طاهر,0.6067708730697632
صحاب,0.609375
أقول,0.5390625
عصر,0.7291666865348816
حرام,0.5677083730697632
لان,0.7552083730697632
ثمن,0.6119791865348816
عرض,0.5416666865348816
صادق,0.5546875
مشرك,0.6015625
أسلم,0.75
عطاء,0.671875
نهي,0.7552083730697632
فهم,0.6145833730697632
رسال,0.65625
أيوب,0.546875
ثوب,0.5833333730697632
خروج,0.6119791865348816
شهد,0.4895833432674408
فقه,0.4453125
مؤلف,0.6119791865348816
مقدم,0.6640625
مصري,0.5442708730697632
يحتمل,0.6276041865348816
آثار,0.7578125
أرسل,0.7005208730697632
عاصم,0.734375
أولاد,0.5494791865348816
طاع,0.5520833730697632
نافع,0.5833333730697632
