Target Word,Cosine Similarity Score
خالد,0.28125
رفع,0.5416666865348816
يعلم,0.3932291865348816
قلب,0.3125
كفر,0.5598958730697632
نصر,0.3619791865348816
إنسان,0.3463541865348816
عزيز,0.3020833432674408
أراد,0.46875
أيام,0.2447916716337204
دليل,0.4791666865348816
طلب,0.5338541865348816
أخرى,0.2604166865348816
إيمان,0.3880208432674408
شعر,0.4296875
نسخ,0.3385416865348816
بغداد,0.2760416865348816
مسجد,0.2604166865348816
ربيع,0.5885416865348816
يجب,0.4036458432674408
حرم,0.3359375
سفيان,0.3958333432674408
علماء,0.421875
حجر,0.3854166865348816
بقي,0.3072916865348816
كسر,0.3541666865348816
إسناد,0.359375
سأل,0.4713541865348816
جواب,0.2760416865348816
نساء,0.5182291865348816
ظهر,0.546875
جامع,0.3463541865348816
أنس,0.3802083432674408
انظر,0.4270833432674408
فقيه,0.3489583432674408
ضرب,0.4140625
قضاء,0.3671875
عقد,0.5130208730697632
صور,0.484375
طالب,0.3619791865348816
نسائي,0.4583333432674408
هرير,0.640625
وجود,0.484375
كلم,0.4244791865348816
شهر,0.5208333730697632
حاتم,0.4583333432674408
منصور,0.5026041865348816
عرب,0.4192708432674408
طبق,0.4270833432674408
امرأ,0.4713541865348816
سلطان,0.34375
مطلق,0.4244791865348816
يدل,0.3463541865348816
شمس,0.4635416865348816
مصنف,0.4635416865348816
مكان,0.3671875
عربي,0.5364583730697632
فرق,0.3958333432674408
حاج,0.3984375
فصل,0.296875
عظيم,0.3489583432674408
جزء,0.3151041865348816
معين,0.4739583432674408
ترمذي,0.359375
حاكم,0.4192708432674408
وضع,0.46875
سير,0.4375
روي,0.5078125
سبيل,0.3854166865348816
منع,0.2291666716337204
يعرف,0.4583333432674408
عذاب,0.34375
حيا,0.6666666865348816
بلغ,0.671875
خطاب,0.3697916865348816
حبان,0.3697916865348816
قسم,0.3020833432674408
حقيق,0.3645833432674408
زمان,0.4010416865348816
معرف,0.3151041865348816
مقام,0.4088541865348816
ثابت,0.4765625
نصف,0.4895833432674408
دمشق,0.4583333432674408
ضعيف,0.4348958432674408
حارث,0.3802083432674408
أحاديث,0.4010416865348816
بعث,0.5364583730697632
كريم,0.6692708730697632
زاد,0.4635416865348816
بحر,0.3541666865348816
يعقوب,0.4270833432674408
مصدر,0.3567708432674408
منزل,0.4140625
شاء,0.5989583730697632
ولي,0.421875
معجم,0.5286458730697632
محل,0.5364583730697632
أخبار,0.7291666865348816
معاوي,0.328125
شهاد,0.3880208432674408
هشام,0.3333333432674408
يصح,0.3489583432674408
ورق,0.3932291865348816
وقف,0.4322916865348816
أبواب,0.5703125
بلاد,0.4947916865348816
واجب,0.359375
لقد,0.421875
أحكام,0.5729166865348816
وجوب,0.46875
يذكر,0.6432291865348816
أكل,0.4583333432674408
عائشة,0.5078125
يلزم,0.3515625
حدثني,0.453125
مولى,0.4114583432674408
عهد,0.4322916865348816
معنا,0.4348958432674408
حمد,0.4010416865348816
علام,0.3463541865348816
يونس,0.6145833730697632
جواز,0.4270833432674408
كفار,0.3489583432674408
وصف,0.3203125
بشر,0.3255208432674408
حرب,0.2942708432674408
يمكن,0.359375
وصل,0.4947916865348816
وليد,0.5364583730697632
قيم,0.4036458432674408
مشهور,0.3541666865348816
مسعود,0.3828125
أعمال,0.3203125
صفح,0.4973958432674408
منمن,0.3020833432674408
حرف,0.5026041865348816
خاص,0.5963541865348816
مرأ,0.3671875
اختلف,0.34375
سماء,0.3385416865348816
والد,0.4244791865348816
كذب,0.3567708432674408
مسند,0.4401041865348816
دفع,0.3229166865348816
كثر,0.3880208432674408
بلد,0.3229166865348816
أبى,0.3333333432674408
جابر,0.3072916865348816
تقدير,0.3541666865348816
حميد,0.2994791865348816
كامل,0.4375
قصد,0.4348958432674408
يريد,0.3932291865348816
كافر,0.4322916865348816
دول,0.53125
يخرج,0.4479166865348816
شعب,0.5026041865348816
نور,0.4114583432674408
محرم,0.2317708432674408
طلاق,0.453125
آمن,0.53125
سابق,0.3697916865348816
شام,0.3723958432674408
ضعف,0.4296875
حنيف,0.4401041865348816
سواء,0.3177083432674408
زكا,0.4244791865348816
بغدادي,0.3776041865348816
قيس,0.578125
ثبت,0.34375
قليل,0.5625
كمال,0.3645833432674408
نكاح,0.4765625
كافي,0.328125
أمور,0.6380208730697632
وفا,0.375
يمن,0.578125
ركع,0.4010416865348816
أنفس,0.4895833432674408
عقل,0.4609375
صغير,0.2864583432674408
كعب,0.4322916865348816
عدي,0.4375
أنزل,0.3645833432674408
عامر,0.6067708730697632
تقول,0.5078125
بصري,0.6901041865348816
اختلاف,0.3984375
ظلم,0.4661458432674408
يدخل,0.4583333432674408
حماد,0.3723958432674408
عمار,0.3723958432674408
أحسن,0.5859375
نعيم,0.53125
ميت,0.5208333730697632
بصر,0.6875
كوفي,0.3515625
أجر,0.4453125
حضر,0.5677083730697632
بقر,0.4166666865348816
أصول,0.40625
دخول,0.4296875
اعتبار,0.3958333432674408
بدل,0.6015625
طعام,0.5703125
سنن,0.4713541865348816
بناء,0.4583333432674408
غسل,0.3723958432674408
أنصاري,0.5026041865348816
حفظ,0.5338541865348816
خطيب,0.4244791865348816
طيب,0.453125
عدد,0.5364583730697632
قرب,0.5807291865348816
ملائك,0.4479166865348816
زبير,0.25
نهاي,0.3984375
شأن,0.3697916865348816
بدر,0.3932291865348816
أفضل,0.4114583432674408
إشار,0.3723958432674408
ضمير,0.5833333730697632
قلوب,0.515625
روح,0.4895833432674408
سماع,0.5104166865348816
بأس,0.3151041865348816
سائر,0.4765625
قبض,0.4401041865348816
أسماء,0.5625
سيف,0.3880208432674408
لسان,0.4375
فرض,0.4609375
طاهر,0.4140625
صحاب,0.4244791865348816
أقول,0.5104166865348816
عصر,0.6380208730697632
حرام,0.4322916865348816
لان,0.65625
ثمن,0.546875
عرض,0.3880208432674408
صادق,0.5416666865348816
مشرك,0.5104166865348816
أسلم,0.5182291865348816
عطاء,0.484375
نهي,0.59375
فهم,0.46875
رسال,0.546875
أيوب,0.3385416865348816
ثوب,0.3567708432674408
خروج,0.4791666865348816
شهد,0.4322916865348816
فقه,0.3125
مؤلف,0.3828125
مقدم,0.5026041865348816
مصري,0.4010416865348816
يحتمل,0.4765625
آثار,0.59375
أرسل,0.4322916865348816
عاصم,0.6796875
أولاد,0.4088541865348816
طاع,0.421875
نافع,0.3880208432674408
إله,0.4921875
زهري,0.3880208432674408
سهل,0.484375
ماج,0.4322916865348816
إجماع,0.6927083730697632
أموال,0.3619791865348816
ثلث,0.3776041865348816
قائل,0.3671875
اثن,0.4010416865348816
طبع,0.2890625
يرد,0.5052083730697632
وحد,0.4479166865348816
عمران,0.40625
دلال,0.5026041865348816
دعاء,0.5182291865348816
سؤال,0.4973958432674408
طائف,0.5182291865348816
رمضان,0.4192708432674408
باطل,0.296875
باقي,0.5807291865348816
غاي,0.640625
زرع,0.3880208432674408
عقب,0.4817708432674408
سبق,0.3359375
أتى,0.5364583730697632
محدث,0.3802083432674408
غالب,0.4921875
دعو,0.453125
صدر,0.5026041865348816
أحب,0.4739583432674408
مبارك,0.4114583432674408
يظهر,0.2864583432674408
آدم,0.5078125
عبار,0.3880208432674408
عدل,0.4557291865348816
قتاد,0.6744791865348816
قريب,0.4244791865348816
طائر,0.3489583432674408
شاش,0.4479166865348816
موقع,0.4661458432674408
حائط,0.4895833432674408
سيار,0.4322916865348816
طيار,0.4348958432674408
الله,0.5729166865348816
